rank,lemma,pos,freq,ipm,ARF,total_freq,source_tags,rows
372,odbyć,verb,15586.0,190.85,7618.97,15586.0,bedzie;fin;imps;inf;pant;praet,6
373,wieczór,noun,15489.0,189.67,7609.98,15489.0,subst,1
374,zmieniać,verb,13396.0,164.04,7587.27,13396.0,fin;imps;impt;inf;pcon;praet,6
375,pokazywać,verb,14315.0,175.29,7564.51,14315.0,fin;imps;impt;inf;pcon;praet,6
376,dziwny,adjective,14469.0,177.18,7547.94,14469.0,adj,1
377,czerwony,adjective,15738.0,192.72,7547.44,15738.0,adj;adja,2
378,szpital,noun,21551.0,263.9,7535.09,21551.0,subst,1
379,Jan,noun,21569.0,264.12,7508.58,21569.0,subst,1
380,miejski,adjective,19059.0,233.38,7491.48,19059.0,adj;adja;adjp,3
381,charakter,noun,15424.0,188.87,7489.49,15424.0,subst,1
382,wchodzić,verb,13643.0,167.06,7436.1,13643.0,fin;imps;impt;inf;pcon;praet,6
383,kolega,noun,16035.0,196.35,7435.08,16035.0,subst,1
384,wolność,noun,17981.0,220.18,7410.49,17981.0,subst,1
385,pozostawać,verb,14163.0,173.42,7399.97,14163.0,fin;inf;pcon;praet,4
386,obowiązek,noun,15687.0,192.09,7395.36,15687.0,subst,1
387,pamięć,noun,16180.0,198.13,7386.26,16180.0,subst,1
388,mąż,noun,19714.0,241.4,7382.96,19714.0,subst,1
389,działalność,noun,18821.0,230.47,7355.11,18821.0,subst,1
390,pozostać,verb,12973.0,158.85,7348.33,12973.0,fin;imps;impt;inf;praet,5
391,przyjaciel,noun,15910.0,194.82,7344.81,15910.0,subst,1
392,wydać,verb,12956.0,158.64,7332.73,12956.0,fin;imps;impt;inf;pant;praet,6
393,organizacja,noun,18649.0,228.36,7326.01,18649.0,subst,1
394,kupić,verb,14299.0,175.09,7325.91,14299.0,fin;imps;impt;inf;pant;praet,6
395,szef,noun,17676.0,216.45,7290.59,17676.0,subst,1
396,przestać,verb,13749.0,168.36,7288.58,13749.0,fin;imps;impt;inf;praet,5
397,tworzyć,verb,13609.0,166.65,7274.21,13609.0,fin;imps;impt;inf;pcon;praet,6
398,dodawać,verb,15249.0,186.73,7258.58,15249.0,fin;imps;impt;inf;pcon;praet,6
399,tytuł,noun,15843.0,194.0,7223.94,15843.0,subst,1
400,zdrowie,noun,16858.0,206.43,7218.75,16858.0,subst,1
401,poważny,adjective,12763.0,156.29,7190.08,12763.0,adj,1
402,otworzyć,verb,14896.0,182.4,7185.88,14896.0,fin;imps;impt;inf;pant;praet,6
403,zatrzymać,verb,13867.0,169.8,7143.39,13867.0,fin;imps;impt;inf;pant;praet,6
404,typ,noun,14327.0,175.44,7106.82,14327.0,subst,1
405,gotowy,adjective,12690.0,155.39,7099.49,12690.0,adj;adjc,2
406,tekst,noun,17943.0,219.71,7087.38,17943.0,subst,1
407,los,noun,13575.0,166.23,7074.78,13575.0,subst,1
408,środowisko,noun,16893.0,206.86,7065.16,16893.0,subst,1
409,ramy,noun,15146.0,185.47,7064.64,15146.0,subst,1
410,walczyć,verb,12910.0,158.09,7037.69,12910.0,fin;imps;impt;inf;pcon;praet,6
411,przyszłość,noun,13571.0,166.18,7025.02,13571.0,subst,1
412,specjalny,adjective,13511.0,165.44,6988.98,13511.0,adj,1
413,potrzebny,adjective,12264.0,150.17,6985.47,12264.0,adj,1
414,źródło,noun,14300.0,175.11,6971.9,14300.0,subst,1
415,zdecydować,verb,12388.0,151.7,6966.14,12388.0,fin;imps;impt;inf;praet,5
416,pewny,adjective,13053.0,159.84,6959.68,13053.0,adj,1
417,lekarz,noun,19603.0,240.04,6953.89,19603.0,subst,1
418,przypomnieć,verb,13474.0,165.0,6936.68,13474.0,fin;imps;impt;inf;pant;praet,6
419,wybór,noun,13719.0,167.99,6931.52,13719.0,subst,1
420,zabrać,verb,13079.0,160.15,6918.98,13079.0,fin;imps;impt;inf;pant;praet,6
421,poczuć,verb,16550.0,202.66,6915.77,16550.0,fin;impt;inf;pant;praet,5
422,budowa,noun,18198.0,222.84,6909.22,18198.0,subst,1
423,przestrzeń,noun,16522.0,202.31,6895.21,16522.0,subst,1
424,odpowiedni,adjective,12715.0,155.7,6874.8,12715.0,adj,1
425,spojrzeć,verb,19844.0,242.99,6872.9,19844.0,fin;impt;inf;pant;praet,5
426,brat,noun,17759.0,217.46,6870.37,17759.0,subst,1
427,słuchać,verb,13972.0,171.09,6859.69,13972.0,fin;imps;impt;inf;pcon;praet,6
428,służba,noun,16580.0,203.02,6847.62,16580.0,subst,1
429,usta,noun,16785.0,205.54,6841.5,16785.0,subst,1
430,stanowisko,noun,16047.0,196.5,6838.45,16047.0,subst,1
431,telefon,noun,16954.0,207.6,6836.4,16954.0,subst,1
432,ciężki,adjective,12319.0,150.85,6816.35,12319.0,adj,1
433,urząd,noun,16891.0,206.83,6803.48,16891.0,subst,1
434,zwrócić,verb,12262.0,150.13,6802.3,12262.0,fin;imps;impt;inf;pant;praet,6
435,dokument,noun,15895.0,194.64,6781.3,15895.0,subst,1
436,przyjechać,verb,13654.0,167.18,6777.9,13654.0,fin;impt;inf;pant;praet,5
437,podjąć,verb,12074.0,147.85,6774.41,12074.0,fin;imps;impt;inf;pant;praet,6
438,rozwiązanie,noun,14883.0,182.24,6765.87,14883.0,subst,1
439,zastanawiać,verb,13587.0,166.38,6748.14,13587.0,fin;imps;impt;inf;pcon;praet,6
440,zależeć,verb,12219.0,149.62,6744.61,12219.0,fin;inf;praet,3
441,kończyć,verb,11893.0,145.63,6729.26,11893.0,fin;imps;impt;inf;pcon;praet,6
442,przychodzić,verb,13135.0,160.84,6718.36,13135.0,fin;impt;inf;pcon;praet,5
443,bezpieczeństwo,noun,15453.0,189.22,6707.53,15453.0,subst,1
444,wiedza,noun,13962.0,170.97,6705.51,13962.0,subst,1
445,ramię,noun,17002.0,208.19,6701.96,17002.0,subst,1
446,niemiecki,adjective,18527.0,226.86,6699.76,18527.0,adj;adja;adjp,3
447,wymagać,verb,12650.0,154.9,6688.58,12650.0,fin;imps;impt;inf;pcon;praet,6
448,krew,noun,15304.0,187.4,6677.62,15304.0,subst,1
449,nazwa,noun,13853.0,169.63,6676.61,13853.0,subst,1
450,pozycja,noun,13249.0,162.24,6658.83,13249.0,subst,1
451,nauka,noun,15697.0,192.21,6638.87,15697.0,subst,1
452,dotrzeć,verb,12616.0,154.48,6621.63,12616.0,fin;inf;pant;praet,4
453,znak,noun,13042.0,159.7,6618.56,13042.0,subst,1
454,gość,noun,14392.0,176.23,6604.64,14392.0,subst,1
455,ustawa,noun,24262.0,297.09,6581.68,24262.0,subst,1
456,święty,adjective,16850.0,206.33,6571.5,16850.0,adj,1
457,córka,noun,17045.0,208.72,6569.2,17045.0,subst,1
458,materiał,noun,13815.0,169.17,6567.57,13815.0,subst,1
459,brakować,verb,11814.0,144.67,6559.67,11814.0,fin;inf;praet,3
460,warunki,noun,13420.0,164.33,6538.32,13420.0,subst,1
461,dyrektor,noun,17717.0,216.95,6534.12,17717.0,subst,1
462,pozostały,adjective,11999.0,146.93,6529.0,11999.0,adj,1
